x (sign(x), time)
814 (8521, 19)
815 (2463, 19)
816 (6428, 19)
817 (6000, 19)
818 (3429, 19)
819 (1160, 19)
820 (3661, 19)
821 (7790, 19)
822 (1871, 19)
823 (341, 19)
824 (5817, 19)
825 (3592, 19)
826 (6740, 19)
827 (7150, 19)
828 (2104, 19)
829 (8173, 19)
830 (4854, 118)
831 (2973, 19)
832 (5446, 19)
833 (6376, 19)
834 (5782, 19)
835 (3798, 19)
836 (5684, 19)
837 (423, 19)
838 (5856, 19)
839 (6060, 19)
840 (10412, 19)
841 (6206, 19)
842 (9883, 19)
843 (3415, 19)
844 (5255, 19)
845 (2965, 19)
846 (473, 19)
847 (6201, 19)
848 (6455, 19)
849 (1561, 19)
850 (5736, 19)
851 (9096, 19)
852 (8337, 19)
853 (6615, 118)
854 (8484, 19)
855 (5634, 19)
856 (720, 19)
857 (6687, 19)
858 (933, 19)
859 (7537, 118)
860 (270, 19)
861 (1676, 19)
862 (1195, 19)
863 (1221, 19)
864 (3807, 19)
865 (4638, 19)
866 (980, 19)
867 (7162, 19)
868 (5506, 19)
869 (8967, 19)
870 (4996, 19)
871 (7404, 19)
872 (10281, 19)
873 (1067, 19)
874 (4075, 19)
875 (2102, 19)
876 (1891, 19)
877 (2673, 19)
878 (9820, 19)
879 (8940, 19)
880 (475, 118)
881 (406, 19)
882 (7057, 19)
883 (9837, 19)
884 (6177, 19)
885 (6375, 19)
886 (8945, 19)
887 (223, 19)
888 (10707, 19)
889 (7669, 19)
890 (5682, 19)
891 (10468, 19)
892 (8006, 19)
893 (4443, 19)
894 (8056, 19)
895 (2738, 19)
896 (5710, 19)
897 (3386, 19)
898 (5864, 19)
899 (2044, 19)
900 (3213, 19)
901 (10906, 19)
902 (5997, 19)
903 (1920, 19)
904 (3503, 19)
905 (10284, 19)
906 (5981, 19)
907 (2767, 19)
908 (2098, 19)
909 (5979, 19)
910 (3628, 19)
911 (1925, 19)
912 (10223, 118)
913 (8562, 118)
914 (9007, 19)
915 (7309, 19)
916 (3294, 19)
917 (945, 19)
918 (1776, 19)
919 (2162, 19)
920 (7034, 19)
921 (4071, 19)
922 (7666, 19)
923 (1987, 19)
924 (942, 19)
925 (5305, 19)
926 (3226, 118)
927 (6600, 19)
928 (7435, 19)
929 (3603, 19)
930 (3175, 19)
931 (8401, 19)
932 (10200, 19)
933 (2192, 19)
934 (4400, 19)
935 (7408, 19)
936 (3053, 19)
937 (3331, 19)
938 (6982, 19)
939 (2220, 19)
940 (7489, 19)
941 (3121, 19)
942 (9755, 19)
943 (4741, 118)
944 (6589, 19)
945 (926, 19)
946 (4568, 19)
947 (4087, 19)
948 (6962, 19)
949 (4554, 19)
950 (310, 19)
951 (10715, 118)
952 (9902, 19)
953 (4988, 19)
954 (8918, 19)
955 (5589, 19)
956 (3754, 19)
957 (9097, 19)
958 (27, 19)
959 (4202, 19)
960 (6653, 19)
961 (4195, 19)
962 (8906, 19)
963 (7770, 19)
964 (5028, 19)
965 (9580, 19)
966 (1304, 19)
967 (5772, 19)
968 (323, 118)
969 (7274, 19)
970 (2619, 19)
971 (8052, 19)
972 (9571, 19)
973 (8293, 19)
974 (5292, 19)
975 (6619, 19)
976 (7097, 19)
977 (4937, 19)
978 (2152, 19)
979 (2110, 19)
980 (2077, 19)
981 (10930, 19)
982 (1622, 19)
983 (2058, 19)
984 (9438, 19)
985 (6439, 19)
986 (7960, 19)
987 (10629, 19)
988 (7752, 19)
989 (10140, 19)
990 (8323, 19)
991 (102, 19)
992 (4872, 19)
993 (2509, 19)
994 (7751, 19)
995 (4797, 19)
996 (10289, 19)
997 (9906, 118)
998 (3437, 19)
999 (1826, 19)
1000 (562, 19)
1001 (6413, 19)
1002 (10381, 19)
1003 (258, 19)
1004 (3349, 19)
1005 (1904, 19)
1006 (4330, 19)
1007 (6926, 19)
1008 (5902, 118)
1009 (4015, 118)
1010 (1578, 19)
1011 (1344, 19)
1012 (5660, 19)
1013 (3100, 19)
1014 (1527, 19)
1015 (7014, 19)
1016 (2259, 19)
1017 (9944, 19)
1018 (2713, 19)
1019 (3495, 19)
1020 (5479, 19)
1021 (7635, 19)
1022 (2589, 118)
1023 (2159, 19)
1024 (4, 19)
1025 (4234, 19)
1026 (5737, 118)
1027 (6182, 19)
1028 (1320, 19)
1029 (1373, 19)
1030 (10437, 19)
1031 (9347, 19)
1032 (7699, 19)
1033 (9746, 19)
1034 (1585, 19)
1035 (95, 19)
1036 (8428, 19)
1037 (1281, 19)
1038 (6322, 118)
1039 (4808, 19)
1040 (6487, 19)
1041 (90, 19)
1042 (10044, 19)
1043 (1367, 217)
1044 (6706, 19)
1045 (2403, 19)
1046 (1062, 19)
1047 (4287, 19)
1048 (1306, 19)
1049 (6895, 217)
1050 (8868, 19)
1051 (9694, 19)
1052 (8887, 19)
1053 (7828, 19)
1054 (6963, 19)
1055 (6817, 19)
1056 (8470, 19)
1057 (7041, 19)
1058 (9627, 19)
1059 (952, 19)
1060 (6121, 19)
1061 (2894, 19)
1062 (5797, 19)
1063 (5960, 19)
1064 (8003, 19)
1065 (4591, 19)
1066 (581, 19)
1067 (4850, 19)
1068 (1747, 19)
1069 (5788, 19)
1070 (6159, 19)
1071 (3643, 19)
1072 (9626, 19)
1073 (1568, 19)
1074 (5325, 118)
1075 (6420, 19)
1076 (8900, 19)
1077 (10904, 19)
1078 (4043, 19)
1079 (4920, 19)
1080 (2834, 19)
1081 (2357, 19)
1082 (3432, 19)
1083 (9512, 19)
1084 (3645, 19)
1085 (4260, 19)
1086 (5581, 19)
1087 (10942, 19)
1088 (7862, 19)
1089 (3029, 19)
1090 (6971, 19)
1091 (9497, 118)
1092 (10811, 19)
1093 (2529, 19)
1094 (3698, 19)
1095 (9645, 19)
1096 (5900, 19)
1097 (9777, 19)
1098 (2145, 217)
1099 (10672, 19)
1100 (5205, 19)
1101 (633, 19)
1102 (4038, 118)
1103 (8210, 19)
1104 (9933, 19)
1105 (8036, 19)
1106 (814, 19)
1107 (5943, 19)
1108 (277, 118)
1109 (2944, 19)
1110 (9793, 118)
1111 (5019, 19)
1112 (2843, 19)
1113 (901, 19)
1114 (1893, 19)
1115 (2810, 19)
1116 (8733, 19)
1117 (6061, 19)
1118 (7441, 19)
1119 (940, 19)
1120 (5457, 19)
1121 (3981, 415)
1122 (8987, 19)
1123 (9714, 19)
1124 (9480, 19)
1125 (10632, 19)
1126 (1179, 19)
1127 (58, 19)
1128 (3624, 19)
1129 (7796, 19)
1130 (1695, 19)
1131 (227, 19)
1132 (6885, 19)
1133 (959, 19)
1134 (7974, 19)
1135 (3606, 118)
1136 (3741, 19)
1137 (10852, 19)
1138 (7850, 19)
1139 (1217, 19)
1140 (4374, 19)
1141 (10586, 19)
1142 (4537, 19)
1143 (9307, 19)
1144 (9234, 19)
1145 (1597, 19)
1146 (2627, 19)
1147 (7122, 19)
1148 (2807, 19)
1149 (4134, 19)
1150 (1620, 19)
1151 (10164, 118)
1152 (1870, 19)
1153 (10216, 19)
1154 (542, 19)
1155 (7784, 19)
1156 (8712, 19)
1157 (8740, 19)
1158 (9296, 118)
1159 (2305, 19)
1160 (9937, 19)
1161 (9555, 19)
1162 (1584, 19)
1163 (4461, 19)
1164 (5626, 19)
1165 (5045, 19)
1166 (9862, 19)
1167 (4025, 19)
1168 (10433, 19)
1169 (2933, 118)
1170 (1956, 19)
1171 (10757, 19)
1172 (9427, 19)
1173 (7251, 19)
1174 (8770, 19)
1175 (260, 19)
1176 (9576, 19)
1177 (5065, 118)
1178 (6625, 19)
1179 (7700, 19)
1180 (782, 19)
1181 (8301, 19)
1182 (477, 19)
1183 (3447, 19)
1184 (9293, 19)
1185 (10869, 19)
1186 (8461, 19)
1187 (7359, 19)
1188 (2804, 19)
1189 (6640, 217)
1190 (395, 19)
1191 (7772, 19)
1192 (1982, 19)
1193 (6676, 19)
1194 (2696, 19)
1195 (10099, 19)
1196 (1263, 19)
1197 (9182, 19)
1198 (8102, 19)
1199 (10440, 19)
1200 (10829, 19)
1201 (6732, 19)
1202 (6193, 19)
1203 (5276, 19)
1204 (7689, 118)
1205 (6291, 19)
1206 (6145, 19)
1207 (3585, 19)
1208 (266, 19)
1209 (6917, 19)
1210 (10116, 19)
1211 (8586, 19)
1212 (3101, 19)
1213 (2719, 19)
1214 (3345, 19)
1215 (9575, 19)
1216 (4820, 19)
1217 (8464, 19)
1218 (6115, 19)
1219 (5786, 19)
1220 (3118, 19)
1221 (8413, 118)
1222 (7916, 19)
1223 (7872, 118)
1224 (3550, 19)
1225 (10414, 19)
1226 (6438, 19)
1227 (4605, 19)
1228 (324, 19)
1229 (1162, 19)
1230 (1541, 19)
1231 (7780, 19)
1232 (1957, 19)
1233 (7039, 19)
1234 (3868, 19)
1235 (1642, 19)
1236 (5194, 19)
1237 (7672, 19)
1238 (8937, 118)
1239 (4343, 19)
1240 (9889, 19)
1241 (3511, 19)
1242 (1694, 19)
1243 (5537, 19)
1244 (5764, 19)
1245 (9597, 19)
1246 (7626, 19)
1247 (8313, 19)
1248 (7448, 19)
1249 (803, 19)
1250 (3620, 19)
1251 (8302, 19)
1252 (9918, 19)
1253 (758, 19)
1254 (1659, 19)
1255 (469, 19)
1256 (10550, 19)
1257 (3923, 19)
1258 (9846, 19)
